variable,description,from_file
startmon,Month of Initial Interview,
daynum,Day of Survey Week,
week,Week of Month,event
month,Month of Year,event
dayofweek,Day of Week,event
dayofmonth,Day of Month,event
days_since_snap,Days Since SNAP,
dss_first3,First 3 Days Since SNAP,
snap_receipt_day,SNAP Disbursement: Day of Month,
snap_receipt_week,SNAP Disbursement: Week of Month,
dailyexp_fah,Daily Expenditure on Food-at-Home ,event
dailyexp_snap,Daily Expenditure on Food-at-Home out of SNAP Benefits ,event
dailyexp_oop,Daily Out-of-Pocket Expenditure on Food-at-Home ,event
get_free,Received Any Free Food,event
num_free,Num. Free Food Acquisitions,event
pr_female,Primary Respondent: Female,indiv
pr_age,Age of Primary Respondent,indiv
pr_under19,Primary Respondent: Under 19,indiv
pr_adult,Primary Respondent: Adult,indiv
pr_senior,Primary Respondent: Over 65,indiv
spousehhmem,Partner Lives at Home,indiv
pr_married,Primary Respondent: Married,indiv
pr_race_white,Primary Respondent: White,indiv
pr_race_black,Primary Respondent: Black,indiv
pr_race_amind,Primary Respondent: American Indian,indiv
pr_race_asian,Primary Respondent: Asian,indiv
pr_race_other,Primary Respondent: Other Race,indiv
pr_hisp,Primary Respondent: Hispanic,indiv
pr_edu_nohs,Primary Respondent: < HS Edu.,indiv
pr_edu_hs,Primary Respondent: HS Degree,indiv
pr_edu_somecol,Primary Respondent: Some College,indiv
pr_edu_bach,Primary Respondent: Bachelor's,indiv
pr_edu_grad,Primary Respondent: Master's or Above,indiv
pr_empl_workat,Primary Respondent: Working at Job,indiv
pr_empl_worknotat,Primary Respondent: Working at Job,indiv
pr_empl_looking,Primary Respondent: Looking for Work,indiv
pr_empl_notwork,"Primary Respondent: With a Job, Not Working",indiv
pr_empl_no_health,Primary Respondent: Not Working for Health Reasons,indiv
pr_retired,Primary Respondent: Retired,indiv
pr_commutetime,Primary Respondent: Commute Time,indiv
pr_bmi,Primary Respondent BMI,indiv
pr_obese,Primary Respondent: Obese,indiv
pr_overwgt,Primary Respondent: Overweight,indiv
pr_not_overwgt,Primary Respondent: Not Overweight,indiv
pr_wic,Primary Respondent on WIC,indiv
n_inschool,Num. In-School Children in HH,indiv
n_kids,Num. Children in HH,indiv
n_under4,Num. Children under 4 in HH,indiv
n_under12,Num. Children under 12 in HH,indiv
n_adults,Num. Adults in HH,indiv
n_seniors,Num. Seniors in HH,indiv
pct_school_lunch,Pct. Elig. Lunches Received at School,indiv
pct_school_brkfst,Pct. Elig. Breakfasts Received at School,indiv
n_school_lunch,Num. Elig. Lunches Received at School,indiv
n_school_brkfst,Num. Elig. Breakfasts Received at School,indiv
nonmetro,Non-Metro ,hh
rural,Live in Rural Census Tract,hh
region,Census Region,hh
region_ne,Census Region: Northeast,hh
region_mw,Census Region: Midwest,hh
region_s,Census Region: South,hh
region_w,Census Region: West,hh
hhsize,Household Size,hh
hhsizechange,Recent HH Size Change,hh
hhsizechild,Child Recently Added to HH,hh
hhsizemove,Relative Recently Moved In/Out of HH,hh
hhsizechangeoth,Other Recent HH Size Change,hh
inchhavg_r,Household Income,hh
pctpovguidehh_r,Household Income (Pct. Poverty Guideline),hh
selfemployhh,Any Household Member Self-Employed,hh
selfemployfoodhh,Any Household Member Self-Employed in Food,hh
jobchangeany,Recent Job Change in HH,hh
housing_own,Own Current Housing,hh
housing_pub,Live in Public Housing,hh
housing_rent,Rent Current Housing,hh
housing_nopay,Don't Pay for Housing,hh
housing_sub,Live in Subsidized Housing,hh
assets_bel2k,"HH Assets Below 2,000",hh
assets_atleast2k,"HH Assets 2,000+",hh
monthly_exp,Monthly Expenses,hh
vehiclenum,Num. HH Vehicles,hh
caraccess,Have Access to Car When Needed,hh
snapnowadmin,SNAP Household,hh
adltfsraw,Adult Food Security Score,hh
nmealshome,Num. Times in Last Week Prepared Food for Dinner at Home,hh
edu_highest,Highest Education (PR and Partner),
foodsec_high,Food Security: High,hh
foodsec_marg,Food Security: Marginal,hh
foodsec_low,Food Security: Low,hh
foodsec_vlow,Food Security: Very Low,hh
foodsec_lowvlow,Food Security: Low/Very Low,hh
food_suff,Food is Sufficient,hh
food_insuff_some,Food Sometimes Insufficient,hh
food_insuff_often,Food Often Insufficient,hh
foodsufficient ,Food Sufficiency Index,hh
food_worried,Worried Food Would Run Out,hh
food_ranout,Food Ran Out,hh
food_notbal,Couldn't Afford Balanced Diet,hh
food_skipped,Adults Skipped/Cut Meals,hh
nskipped,Num. Days Skipped A Meal in Last Month,hh
food_less,Ate Less Than Should,hh
